instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2023-01-03,Tuesday,ADR,3843.113,3821.128,21.984999999999673,3843.926,3820.11,23.815999999999804,True,LONG,2023-01-02 22:45:00,3844.489,True,True,True,0.3761,0.0459,0.3761,3851.381,2023-01-03 01:30:00,0.1025,3840.86,2023-01-02 23:09:00,False,,0.1025,,True,3843.113,2023-01-02 22:51:00,0.0
ES,2023-01-03,Tuesday,ODR,3872.926,3855.113,17.813000000000102,3874.113,3854.863,19.25,True,LONG,2023-01-03 04:00:00,3879.742,False,True,False,0.614,0.4342,0.614,3883.863,2023-01-03 05:00:00,1.4342,3847.378,2023-01-03 07:13:00,True,2023-01-03 04:16:00,0.0,1.4342,True,3872.366,2023-01-03 05:21:00,0.0314
ES,2023-01-03,Tuesday,RDR,3868.176,3816.628,51.547999999999774,3878.625,3815.36,63.26499999999987,True,SHORT,2023-01-03 11:10:00,3810.378,True,True,False,0.0,0.46,0.46,3792.915,2023-01-03 12:47:00,0.1996,3826.915,2023-01-03 15:50:00,False,,0.034,,True,3818.381,2023-01-03 11:23:00,0.034
ES,2023-01-04,Wednesday,ADR,3827.719,3821.74,5.979000000000269,3827.776,3821.002,6.773999999999887,True,LONG,2023-01-03 20:35:00,3828.536,True,True,True,0.7755,0.0,0.7755,3832.356,2023-01-04 00:04:00,0.8105,3822.873,2023-01-03 22:49:00,True,2023-01-03 20:42:00,0.8105,0.8105,True,3827.016,2023-01-03 21:39:00,0.1176
ES,2023-01-04,Wednesday,ODR,3844.149,3834.698,9.451000000000022,3844.206,3834.425,9.780999999999949,True,SHORT,2023-01-04 05:35:00,3834.175,False,True,False,0.3202,0.625,0.625,3828.791,2023-01-04 07:51:00,1.3202,3847.175,2023-01-04 08:26:00,True,2023-01-04 07:49:00,0.878,1.3202,True,3835.411,2023-01-04 05:40:00,0.0754
ES,2023-01-04,Wednesday,RDR,3847.109,3823.438,23.67099999999982,3856.258,3814.321,41.9369999999999,True,LONG,2023-01-04 11:30:00,3861.145,True,True,True,1.1146,0.0219,1.1146,3873.492,2023-01-04 11:57:00,0.8918,3825.999,2023-01-04 14:30:00,True,2023-01-04 11:35:00,0.0,0.8918,True,3844.936,2023-01-04 14:02:00,0.0918
ES,2023-01-05,Thursday,ADR,3852.028,3847.329,4.698999999999614,3852.265,3846.086,6.179000000000087,True,SHORT,2023-01-04 21:00:00,3843.578,True,True,True,0.0102,2.7023,2.7023,3834.631,2023-01-04 21:31:00,0.9528,3851.806,2023-01-05 00:12:00,True,2023-01-04 21:05:00,0.0,0.9528,True,3848.278,2023-01-04 23:30:00,0.202
ES,2023-01-05,Thursday,ODR,3843.671,3835.928,7.742999999999938,3844.788,3833.93,10.858000000000175,True,LONG,2023-01-05 04:15:00,3846.341,True,True,False,2.4704,0.0,2.4704,3862.799,2023-01-05 07:34:00,0.9516,3836.303,2023-01-05 08:20:00,True,2023-01-05 04:24:00,0.1325,0.9516,True,3843.161,2023-01-05 04:33:00,0.0659
ES,2023-01-05,Thursday,RDR,3829.936,3805.971,23.965000000000146,3831.691,3802.008,29.682999999999993,False,,,,,,,0.0381,0.1678,,,,,,,False,,,,False,,,
ES,2023-01-06,Friday,ADR,3819.18,3816.435,2.744999999999891,3819.716,3815.936,3.7799999999997453,True,LONG,2023-01-05 20:30:00,3820.966,True,True,True,3.2007,0.0,3.2007,3827.966,2023-01-05 22:30:00,0.3242,3818.29,2023-01-06 01:29:00,True,2023-01-05 20:35:00,0.0,0.3242,True,3819.016,2023-01-06 00:49:00,0.0597
